Model,Meets constraint?,Chosen threshold,Recall@thresh (OOF),Precision@thresh (OOF),ROC-AUC (OOF),Average Precision (OOF)
Logistic Regression: All Add-Ons,True,0.4856,0.8167,0.52,0.8463,0.65
LightGBM: All Features,True,0.5066,0.8114,0.5202,0.8482,0.6622
Logistic Regression: All Features,True,0.4916,0.8107,0.5202,0.8487,0.6627
Logistic Regression: Monthly Charges,True,0.4948,0.802,0.5202,0.8432,0.639
LightGBM: All Add-Ons,True,0.5135,0.7993,0.52,0.8435,0.6432
Logistic Regression: Internet Service,True,0.5063,0.7987,0.52,0.8417,0.6349
LightGBM: Monthly Charges,True,0.5202,0.7933,0.5202,0.841,0.6348
LightGBM: Internet Service,True,0.5312,0.7913,0.52,0.8396,0.6286
